,COFFEE,SUGAR,COCOA,COTTON,FCOJ,PULP,METALS & GRAINS
3/31/10,388468,2781061,282222,344389,42726,0,0
4/30/10,586602,2763589,372997,567774,73654,0,0
5/31/10,372641,1735909,290545,365998,36599,0,0
6/30/10,791873,2945812,366645,550206,63734,0,0
7/31/10,384464,1845924,253289,327296,37098,0,0
8/31/10,601583,2193287,425322,331579,64224,0,0
9/30/10,336930,3379649,247749,440411,50953,0,0
10/31/10,370233,1984789,284483,600977,72996,0,0
11/30/10,519808,2639372,404682,887594,34959,0,0
12/31/10,260575,1612553,261190,425234,96967,0,0
1/1/11,390345,2183606,395349,457454,39184,0,0
2/28/11,471890,3348736,401740,719075,63134,0,0
3/31/11,408416,1779543,390590,590294,43077,0,0
4/30/11,516121,2343182,423879,602903,63680,0,0
5/31/11,388052,1837674,357282,325606,41142,0,0
6/30/11,555238,3275126,454217,536555,89150,0,0
7/31/11,332701,1709240,328156,293608,28260,0,0
8/31/11,577095,1990900,571410,290265,80733,0,0
9/30/11,391134,2566872,335481,307617,32920,0,0
10/31/11,420084,1264799,388486,350452,59502,0,0
11/30/11,483740,1293891,554320,598711,24493,0,0
12/31/11,239722,1110676,347142,215914,62335,0,0
1/1/12,401399,2005399,395832,471729,59578,0,0
2/28/12,578415,2769329,586013,605161,68746,0,0
3/30/12,541098,2322868,474613,499276,29672,0,0
4/29/12,628814,2769833,605217,660539,58405,0,0
5/30/12,494615,1946779,459683,564011,42001,0,37735
6/29/12,642772,3469035,620166,826818,56218,0,79845
7/30/12,466738,2259141,457510,308028,28654,0,84024
8/30/12,581141,2058972,627854,339672,57465,0,52414
9/29/12,406023,2741282,346794,349649,31796,0,35632
10/30/12,503577,1790522,467949,584358,51993,0,57817
11/29/12,603866,1639602,651655,632610,36729,0,70925
12/30/12,277026,1430501,306527,288501,65518,0,45763
1/1/13,555032,2375874,505589,599171,46432,0,78258
2/27/13,758665,3041053,598270,738954,54711,0,56819
3/30/13,468082,2047388,425547,474475,37532,0,45173
4/29/13,904549,3095340,752332,725015,67361,0,31888
5/30/13,609068,1912333,541022,494848,31399,0,14993
6/29/13,742238,3980425,792100,729167,63622,0,12526
7/30/13,590940,2040278,504933,282565,26724,0,2085
8/30/13,703755,2122189,646114,464074,43047,0,694
9/29/13,347915,3800124,379515,273354,29937,0,434
10/30/13,423480,2287948,484417,487233,40275,0,731
11/29/13,700471,1565993,621749,588624,24295,0,1056
12/30/13,319834,1620852,332158,297544,39684,0,237
1/1/14,567574,2466923,571906,544180,27695,0,118
2/27/14,1140881,4166755,588461,602542,39560,0,210
3/30/14,596963,2488600,453219,446810,29605,0,110
4/29/14,736494,2870254,593071,568063,51337,0,79
5/30/14,458676,1912215,454372,399736,24033,0,31
6/29/14,596745,3376181,625401,611785,51811,0,1657
7/30/14,404407,1988434,551959,362461,21141,0,48511
8/30/14,619641,1857929,541132,338548,36438,0,48772
9/29/14,394952,3664731,478549,460119,18068,0,47569
10/30/14,583259,1660299,617492,477742,35974,0,47706
11/29/14,610793,1577317,508452,625593,27182,0,66696
12/30/14,341845,1453220,331778,350304,35685,0,48321
1/1/15,586593,2552382,586564,474061,21377,0,54459
2/27/15,795022,3640498,679362,764365,37435,0,33554
3/30/15,615139,2797340,694091,532511,34855,0,39656
4/29/15,786626,3856477,739813,774667,39065,0,38252
5/30/15,596214,2277422,520024,504552,23789,0,30069
6/29/15,847139,3794625,710582,748679,42032,0,28062
7/30/15,540970,2267023,531381,391137,18914,0,34284
8/30/15,964634,2318205,801763,541234,42607,0,37335
9/29/15,490262,4332691,602091,378522,24694,0,24177
10/30/15,633066,2611588,770424,492136,48774,0,32641
11/29/15,864055,2313296,775633,719228,28965,0,32542
12/30/15,388415,1704437,501308,405494,36060,0,26691
1/1/16,665155,3191099,940394,556719,28008,0,32128
2/27/16,983217,3777520,950705,939935,34218,0,46125
3/29/16,863904,2662634,667648,544182,25553,0,51219
4/28/16,1009149,3522543,927406,920993,40101,0,40978
5/29/16,777352,2602574,857735,567262,20743,0,41387
6/28/16,1181746,4218476,778284,802605,50207,0,40443
7/29/16,553988,1742224,712599,582169,24414,0,43737
8/29/16,908304,2013125,987963,538811,47704,0,30949
9/28/16,600690,3971481,730541,437283,24848,0,24266
10/29/16,695422,1727505,856408,528534,49991,0,22660
11/28/16,1092826,1972513,829030,876713,22202,0,45187
12/29/16,524561,1792050,623505,408670,45915,0,23016
1/1/17,621047,2501768,797471,621642,30883,0,28016
2/26/17,824746,3273275,929400,919593,37187,0,26056
3/29/17,618426,2777906,906294,648217,35311,0,27404
4/28/17,1018525,3299189,974013,805263,33218,0,24885
5/29/17,642116,2489279,927022,728004,25193,0,31450
6/28/17,1079212,3523038,1095512,731750,34836,0,33643
7/29/17,637351,1867041,790389,367996,18627,0,31255
8/29/17,983180,2296674,1116901,499490,36316,0,34715
9/28/17,599210,3366576,660699,527357,34697,0,30152
10/29/17,701745,1672329,1066289,539450,25936,0,32557
11/28/17,1135521,2062201,1049735,954722,16504,0,44847
12/29/17,573043,1902551,747881,564023,34791,0,32630
1/1/18,931694,3222655,973387,908692,23671,0,41928
2/26/18,1202836,3698096,1122890,1040986,29581,0,33751
3/29/18,818537,2843337,1135854,697571,16795,0,34262
4/28/18,1357172,4162914,1266511,967537,36685,0,34808
